编码类型,编码,中文名称,标准定义,适用字段,排序,是否启用,备注
规则子类,M09-SHI,M09｜得势证据,M09中用于印比集团、数量质量、干支覆盖、扶身链、双集团对比与得势边界。,子类代码,62,是,首次用于V0.7
规则子类,M09-SHENG,M09｜得生证据,M09中用于有效印源、印受损、强印无根、多印、生源容量、链式生扶与印比协同。,子类代码,63,是,首次用于V0.7
规则子类,M09-KE,M09｜受制证据,M09中用于官杀制身、官杀成势、制化修正、杀印流向、承载差异与容量去重。,子类代码,64,是,首次用于V0.7
规则子类,M09-XIE,M09｜受泄证据,M09中用于食伤泄身、泄身成势、印制食伤、连续泄耗及泄克分型。,子类代码,65,是,首次用于V0.7
规则子类,M09-HAO,M09｜受耗证据,M09中用于财星耗身、财势、财受制、强身任财、泄耗链去重及多负荷边界。,子类代码,66,是,首次用于V0.7
规则子类,M09-SYN,M09｜综合比较,M09中用于扶身侧与负荷侧净优势、强证据优先、节点去重、双强双弱与冲突降置信。,子类代码,67,是,首次用于V0.7
规则子类,M09-GRADE,M09｜七级综合分级,M09中用于极弱、弱、中和偏弱、中和、中和偏旺、旺、极旺及相邻等级边界。,子类代码,68,是,首次用于V0.7
规则子类,M09-BOUND,M09｜日主旺衰边界,M09中用于非机械计分、数量边界、喜忌隔离、特殊格局接口、静动态分离与输出规范。,子类代码,69,是,首次用于V0.7
版本号,VER12,V0.8,版本号的标准选项：V0.8。完成M10十神旺衰功能核心规则。,版本号,8,是,十神旺衰功能规则版
规则子类,M10-PRES,M10｜十神存在性,M10中用于透干、藏支、多处出现、完全不现、正偏并见及静动态存在边界。,子类代码,70,是,首次用于V0.8
规则子类,M10-POWER,M10｜十神有效力量,M10中用于从M08继承有效力量、多节点汇总、季令根气、生源制约及七级分级。,子类代码,71,是,首次用于V0.8
规则子类,M10-PURE,M10｜十神清纯度,M10中用于正偏并见、主次清晰、混杂程度及清纯度与喜忌分离。,子类代码,72,是,首次用于V0.8
规则子类,M10-BIJIE,M10｜比劫功能,M10中用于比肩劫财的扶身、抗制、制财、成势、过度和双重功能。,子类代码,73,是,首次用于V0.8
规则子类,M10-YIN,M10｜印星功能,M10中用于印星生身、化官杀、制食伤、财制印、印比协同及印过度。,子类代码,74,是,首次用于V0.8
规则子类,M10-SHISHANG,M10｜食伤功能,M10中用于泄身、生财、制杀、克官、泄秀、过泄及枭制食伤。,子类代码,75,是,首次用于V0.8
规则子类,M10-CAI,M10｜财星功能,M10中用于财星耗身、生官杀、制印、受比劫制、任财与财多身弱候选。,子类代码,76,是,首次用于V0.8
规则子类,M10-GUANSHA,M10｜官杀功能,M10中用于官杀制身、生印、制化、官杀混杂、清化及日主承载。,子类代码,77,是,首次用于V0.8
规则子类,M10-BAL,M10｜功能制化状态,M10中用于正常、受限、转化、失效、过度、制化平衡和制化失衡。,子类代码,78,是,首次用于V0.8
规则子类,M10-ROLE,M10｜组合格局接口,M10中用于向M11/M14生成食神制杀、伤官配印、官印、杀印、食伤生财等候选。,子类代码,79,是,首次用于V0.8
规则子类,M10-XIJI,M10｜喜忌候选,M10中用于根据日主承载、主要矛盾、收益与副作用生成条件性喜忌候选。,子类代码,80,是,首次用于V0.8
规则子类,M10-BOUND,M10｜十神判断边界,M10中用于旺衰吉凶分离、象义事件隔离、静动态分离、争议治理和标准输出。,子类代码,81,是,首次用于V0.8
版本号,VER13,V0.9,版本号的标准选项：V0.9。完成M11十神组合成立核心规则。,版本号,9,是,十神组合成立规则版
规则子类,M11-GEN,M11｜组合通用判定,M11中用于候选生成、路径必要性、力量匹配、日主承载、容量去重、破坏救应及格局分层。,子类代码,82,是,首次用于V0.9
规则子类,M11-SHIZHI,M11｜食神制杀,M11中用于食神制杀的主体客体、制杀比例、枭夺食、财制枭、制杀太过与承载。,子类代码,83,是,首次用于V0.9
规则子类,M11-SHAYIN,M11｜杀印相生,M11中用于七杀生印、印生身、化杀不及、财坏印及制化路线竞争。,子类代码,84,是,首次用于V0.9
规则子类,M11-GUANYIN,M11｜官印相生,M11中用于官生印、印生身、伤官破官、财星双效与清纯增强。,子类代码,85,是,首次用于V0.9
规则子类,M11-SHANGYIN,M11｜伤官配印,M11中用于伤官与印星力量匹配、财坏印、印制太过、日主承载及救官。,子类代码,86,是,首次用于V0.9
规则子类,M11-SHENGCAI,M11｜食伤生财,M11中用于食神生财、伤官生财、财星承载、比劫破财、印制食伤及身强弱负荷。,子类代码,87,是,首次用于V0.9
规则子类,M11-CAIGUAN,M11｜财官生化链,M11中用于财生官、财生杀、财官印相生、财坏印副作用及日主承载。,子类代码,88,是,首次用于V0.9
规则子类,M11-BALANCE,M11｜平衡承载组合,M11中用于身财两停、身官两停、身杀两停、身旺任财官及身弱得印比承载。,子类代码,89,是,首次用于V0.9
规则子类,M11-PATH,M11｜其他制化路径,M11中用于比劫制财护身、羊刃驾杀、印化官杀与食伤泄秀等结构。,子类代码,90,是,首次用于V0.9
规则子类,M11-CONFLICT,M11｜冲突病态组合,M11中用于伤官见官、枭神夺食、比劫夺财、财坏印、官杀混杂、制杀太过、财多身弱等。,子类代码,91,是,首次用于V0.9
规则子类,M11-BOUND,M11｜组合判断边界,M11中用于组合命名、位置、藏干、共享节点、静动态、口诀条件化、流派治理和标准输出。,子类代码,92,是,首次用于V0.9
版本号,VER14,V1.0,版本号的标准选项：V1.0。完成M12五行流通卡点核心规则。,版本号,10,是,五行流通卡点规则版
规则子类,M12-GEN,M12｜流通通用模型,M12中用于起点—桥梁—终点模型、有效力量、路径长度、节点容量、主路径与局部/全局流通边界。,子类代码,93,是,首次用于V1.0
规则子类,M12-SOURCE,M12｜源头状态,M12中用于强源无泄、弱源不足、源头受克合、多源供给与入口拥堵。,子类代码,94,是,首次用于V1.0
规则子类,M12-BRIDGE,M12｜桥梁有效性,M12中用于桥梁强弱、受克、合绊、改性、寒凝燥枯、共享容量与通关稳定性。,子类代码,95,是,首次用于V1.0
规则子类,M12-END,M12｜终点承载,M12中用于终点过弱、过旺反制、受克、改性、多源汇聚及阶段性终点承载。,子类代码,96,是,首次用于V1.0
规则子类,M12-BLOCK,M12｜典型卡点,M12中用于缺桥、桥弱、桥被克合、源头无泄、终点失衡、两强相战、寒凝燥枯、链长与回流壅塞。,子类代码,97,是,首次用于V1.0
规则子类,M12-WUXING,M12｜五行生化与通关,M12中用于五组连续生化链及五组克战通关的标准路径。,子类代码,98,是,首次用于V1.0
规则子类,M12-TENGOD,M12｜十神功能路径,M12中用于官杀印身、身食伤财、食伤财官杀、财官印等十神连续流通路径。,子类代码,99,是,首次用于V1.0
规则子类,M12-TONGGUAN,M12｜通关候选与副作用,M12中用于通关双向条件、力量门槛、受克合、寒湿燥热及破坏组合等副作用。,子类代码,100,是,首次用于V1.0
规则子类,M12-AGG,M12｜流通综合输出,M12中用于主路径、主卡点、反向证据、通关排序和标准输出。,子类代码,101,是,首次用于V1.0
规则子类,M12-BOUND,M12｜流通判断边界,M12中用于禁止缺啥补啥、旺衰与流通分离、流通与喜忌分离及静动态边界。,子类代码,102,是,首次用于V1.0
版本号,VER15,V1.1,版本号的标准选项：V1.1。完成M13寒暖燥湿核心规则。,版本号,11,是,寒暖燥湿规则版
规则子类,M13-GEN,M13｜调候通用模型,M13中用于寒暖/燥湿双轴、月令基准、五级状态、有效力量、调候与扶抑分离及极端优先级。,子类代码,103,是,首次用于V1.1
规则子类,M13-SEASON,M13｜月令气候基准,M13中用于十二月令的初始温度、湿度倾向及其条件化修正。,子类代码,104,是,首次用于V1.1
规则子类,M13-TEMP,M13｜寒暖修正,M13中用于火水木土金对温度轴的有效修正、平衡与极端功能化。,子类代码,105,是,首次用于V1.1
规则子类,M13-HUMID,M13｜燥湿修正,M13中用于水、湿土、燥土、火、木对湿度轴的修正及极端功能化。,子类代码,106,是,首次用于V1.1
规则子类,M13-COMBO,M13｜双轴组合状态,M13中用于寒湿、寒燥、暖湿、暖燥及温度平衡下偏湿偏燥等复合状态。,子类代码,107,是,首次用于V1.1
规则子类,M13-EFFECT,M13｜调候元素有效性,M13中用于调候五行不现、无根、有根、受克、合绊、改性、过度和作用路径。,子类代码,108,是,首次用于V1.1
规则子类,M13-CONFLICT,M13｜调候冲突与优先级,M13中用于调候与扶抑、格局、通关的一致、冲突、特殊格局约束及根本病升级。,子类代码,109,是,首次用于V1.1
规则子类,M13-BOUND,M13｜调候判断边界,M13中用于冬夏非自动极端、剂量边界、土性条件化、事件隔离和标准输出。,子类代码,110,是,首次用于V1.1
版本号,VER16,V1.2,版本号的标准选项：V1.2。完成M14格局候选判断核心规则。,版本号,12,是,格局候选判断规则版
规则子类,M14-GEN,M14｜候选通用规则,M14中用于多候选生成、月令主气、中余气透干、格神有效性、日主配合、清纯度与组合分层。,子类代码,111,是,首次用于V1.2
规则子类,M14-GUAN,M14｜正官格候选,M14中用于正官格的月令来源、官印财官增强、伤官破官与官杀混杂。,子类代码,112,是,首次用于V1.2
规则子类,M14-SHA,M14｜七杀格候选,M14中用于七杀格的月令来源、食制杀印增强、杀弱否决与官杀混杂。,子类代码,113,是,首次用于V1.2
规则子类,M14-YIN,M14｜印格候选,M14中用于正印、偏印候选、官印杀印增强、财破印与印枭混杂。,子类代码,114,是,首次用于V1.2
规则子类,M14-CAI,M14｜财格候选,M14中用于正财、偏财候选、食伤生财、财官相生、比劫破财与身弱承载。,子类代码,115,是,首次用于V1.2
规则子类,M14-SHISHANG,M14｜食伤格候选,M14中用于食神格、伤官格、生财、制杀、配印、枭夺食与伤官见官。,子类代码,116,是,首次用于V1.2
规则子类,M14-JIANREN,M14｜建禄羊刃候选,M14中用于建禄、羊刃月令映射、取用方向、驾杀、壅塞及阴干羊刃争议。,子类代码,117,是,首次用于V1.2
规则子类,M14-CONG,M14｜从格候选,M14中用于从财、从官杀、从儿、从旺、从强、从势、假从及强根否决。,子类代码,118,是,首次用于V1.2
规则子类,M14-HUAQI,M14｜化气格候选,M14中用于化气通用硬门槛及甲己、乙庚、丙辛、丁壬、戊癸五组化气候选。,子类代码,119,是,首次用于V1.2
规则子类,M14-ZHUAN,M14｜专旺候选,M14中用于专旺通用门槛及曲直、炎上、稼穑、从革、润下五类候选。,子类代码,120,是,首次用于V1.2
规则子类,M14-RANK,M14｜候选排序,M14中用于月令优先、特殊格严格、有效性优先、全局主导、并列保留与标准候选输出。,子类代码,121,是,首次用于V1.2
规则子类,M14-BOUND,M14｜格局候选边界,M14中用于候选与成格分离、禁止月令一字定格、事件隔离与静动态分离。,子类代码,122,是,首次用于V1.2
版本号,VER17,V1.3,版本号的标准选项：V1.3。完成M15格局成败救应核心规则。,版本号,13,是,格局成败救应规则版
规则子类,M15-GEN,M15｜成败通用规则,M15中用于基本成立、清纯成立、轻微/一般/严重/根本破格、多重破格、救应与层次分离。,子类代码,123,是,首次用于V1.3
规则子类,M15-GUAN,M15｜正官格成败,M15中用于正官格成格、官印财官增强、伤官破官、官杀混杂及清化救应。,子类代码,124,是,首次用于V1.3
规则子类,M15-SHA,M15｜七杀格成败,M15中用于七杀格承载、食神制杀、杀印相生、无制无化、制杀太过、枭夺食及救应。,子类代码,125,是,首次用于V1.3
规则子类,M15-YIN,M15｜印格成败,M15中用于正偏印格、官印杀印、财坏印、印多身滞、枭夺食、印枭混杂及护印救应。,子类代码,126,是,首次用于V1.3
规则子类,M15-CAI,M15｜财格成败,M15中用于财格承载、食伤生财、财官相生、身弱不任、比劫夺财、财坏印及护财救应。,子类代码,127,是,首次用于V1.3
规则子类,M15-SHISHANG,M15｜食伤格成败,M15中用于食神格、伤官格、生财、制杀、配印、枭夺食、伤官见官及对应救应。,子类代码,128,是,首次用于V1.3
规则子类,M15-JIANREN,M15｜建禄羊刃成败,M15中用于建禄与羊刃的成格、泄秀、制衡、驾杀、壅塞、杀弱与制刃太过。,子类代码,129,是,首次用于V1.3
规则子类,M15-CONG,M15｜从格成败,M15中用于真从、从财、从官杀、从儿、从旺、从强、从势、假从及有效逆神破格。,子类代码,130,是,首次用于V1.3
规则子类,M15-HUAQI,M15｜化气格成败,M15中用于真化、化神有权、原气强根、争合破化、化神受损、假化与救化。,子类代码,131,是,首次用于V1.3
规则子类,M15-ZHUAN,M15｜专旺格成败,M15中用于专旺、曲直、炎上、稼穑、从革、润下严格成立及逆克与关键杂气破格。,子类代码,132,是,首次用于V1.3
规则子类,M15-RESCUE,M15｜救应有效性,M15中用于无救应、弱/部分/明显/完全救应、副作用、容量、协同、对象限定与事实保留。,子类代码,133,是,首次用于V1.3
规则子类,M15-BOUND,M15｜格局成败边界,M15中用于成立与层次分离、有破非自动否决、事件隔离及原局/岁运分离。,子类代码,134,是,首次用于V1.3
版本号,VER18,V1.4,版本号的标准选项：V1.4。完成M16病药模型核心规则。,版本号,14,是,病药模型规则版
规则子类,M16-GEN,M16｜病药通用逻辑,M16中用于根本病、功能障碍立病、旺弱缺失边界、同象异因、病药相对性与标准证据链。,子类代码,135,是,首次用于V1.4
规则子类,M16-WEAK,M16｜偏弱与承载不足,M16中用于身弱无根、根损、食伤过泄、财多身弱、官杀超承载、关键桥梁/十神偏弱及真从例外。,子类代码,136,是,首次用于V1.4
规则子类,M16-STRONG,M16｜过旺与壅塞,M16中用于比劫旺无出口、印多身滞、极旺源头无泄、功能过度、旺而有用、特殊旺势及药理择路。,子类代码,137,是,首次用于V1.4
规则子类,M16-FLOW,M16｜流通病,M16中用于缺桥、桥弱、桥被克合、源头壅塞、终点失衡、两强相战、链长、回流、寒凝燥枯与容量竞争。,子类代码,138,是,首次用于V1.4
规则子类,M16-CONTROL,M16｜制化病,M16中用于杀无制化、制杀不及/太过、化杀不及、伤官见官、枭夺食、财坏印、比劫夺财、混杂与羊刃制化。,子类代码,139,是,首次用于V1.4
规则子类,M16-PATTERN,M16｜格局病,M16中用于格神受损/失效、格神混杂、配合神无力、忌神破格、救应不足/过度、从化专旺破格及建禄壅塞。,子类代码,140,是,首次用于V1.4
规则子类,M16-CLIMATE,M16｜调候病,M16中用于极寒、寒湿、寒燥、极热、暖燥、暖湿、极湿、极燥、调候有形无力与双轴平衡边界。,子类代码,141,是,首次用于V1.4
规则子类,M16-MED,M16｜药神选择机制,M16中用于根因择药、一药多效、主辅配伍、药神有效性、路径直接性、制杀择路、用药顺序与M17接口。,子类代码,142,是,首次用于V1.4
规则子类,M16-DOSE,M16｜药力与新病,M16中用于药神无根、受克合、药力不足、药过成病、药伤格、通关/调候冲突、多药竞争与桥梁过载。,子类代码,143,是,首次用于V1.4
规则子类,M16-RANK,M16｜病位主次排序,M16中用于共同根因、严重度、特殊格局硬约束、表层病降级、主次输出和争议降置信。,子类代码,144,是,首次用于V1.4
规则子类,M16-COMPOSITE,M16｜复合病,M16中用于旺衰流通、制化格局、调候流通同源及多病多药冲突。,子类代码,145,是,首次用于V1.4
规则子类,M16-BOUND,M16｜病药判断边界,M16中用于医学边界、原局/岁运分离、非机械计分和标准输出。,子类代码,146,是,首次用于V1.4
版本号,VER19,V1.5,版本号的标准选项：V1.5。完成M17喜忌用神矩阵核心规则。,版本号,15,是,喜忌用神矩阵规则版
规则子类,M17-GEN,M17｜用神矩阵通用规则,M17中用于五维矩阵、单维候选、多维同向、特殊格局硬约束、伤格降级、中性、待定及非机械计分。,子类代码,147,是,首次用于V1.5
规则子类,M17-FUYI,M17｜扶抑用神,M17中用于印比扶身、食伤泄秀、财星耗身、官杀制衡、身弱负荷端及中和降权。,子类代码,148,是,首次用于V1.5
规则子类,M17-GEJU,M17｜格局用神,M17中用于正官、七杀、印、财、食伤、建禄羊刃、从格、化气、专旺和救格方向。,子类代码,149,是,首次用于V1.5
规则子类,M17-TONGGUAN,M17｜通关用神,M17中用于五组克战通关、通关升级、药力不足、伤格、恶化调候及非两强不通关。,子类代码,150,是,首次用于V1.5
规则子类,M17-TIAOHOU,M17｜调候用神,M17中用于火暖寒湿、水降热润燥、木疏湿助火、金生水、土承湿、寒燥主辅及调候平衡退出。,子类代码,151,是,首次用于V1.5
规则子类,M17-BINGYAO,M17｜病药用神,M17中用于根本病主药、辅助药、药神有效性、一药多效、次病药、药量边界、药伤格及相反药候选。,子类代码,152,是,首次用于V1.5
规则子类,M17-WUXING,M17｜五行综合画像,M17中用于木火土金水各自的正向机制、通关角色、过旺转忌和弱而非关键不自动为喜。,子类代码,153,是,首次用于V1.5
规则子类,M17-RANK,M17｜喜忌定位等级,M17中用于主用、辅助、喜神、条件性喜神、中性、条件性忌神、忌神和仇神的统一定义。,子类代码,154,是,首次用于V1.5
规则子类,M17-BOUND,M17｜用神判断边界,M17中用于旺衰/缺失与喜忌分离、五行十神映射、一行多效、应用边界、静动态、事件隔离及标准输出。,子类代码,155,是,首次用于V1.5
版本号,VER20,V1.6,版本号的标准选项：V1.6。完成M18冲突裁决核心规则。,版本号,16,是,冲突裁决规则版
规则子类,M18-GEN,M18｜通用裁决原则,M18中用于硬约束资格、根本病、主路径、净伤害、证据去重、直接路径和证据接近待定。,子类代码,156,是,首次用于V1.6
规则子类,M18-SPECIAL,M18｜特殊格局硬约束,M18中用于严格特殊格局与普通扶抑、调候、通关、病药冲突，以及真从、真化、专旺顺势。,子类代码,157,是,首次用于V1.6
规则子类,M18-PATTERN,M18｜格局冲突裁决,M18中用于核心格神、失效格局、救格、格局与调候/流通/病药、配合神及多格局排序。,子类代码,158,是,首次用于V1.6
规则子类,M18-CLIMATE,M18｜调候冲突裁决,M18中用于极端/轻度调候、调候流通同源、双轴净效应、扶抑阈值、特殊格局、寒燥主辅与药量。,子类代码,159,是,首次用于V1.6
规则子类,M18-FLOW,M18｜流通冲突裁决,M18中用于主卡点、通关药力、通关与格局/调候、主次路径、先桥后终点、多通关候选和次生卡点。,子类代码,160,是,首次用于V1.6
规则子类,M18-MED,M18｜病药冲突裁决,M18中用于根本药、格局病、药伤格、更重新病、一药多效、药力、主次病、多药路线、仇神与无病不设药。,子类代码,161,是,首次用于V1.6
规则子类,M18-ROUTE,M18｜具体药路择一,M18中用于印食制杀、伤官财印、建禄泄制耗、羊刃制泄、财多身弱、枭夺食、财坏印、比劫夺财、官杀清化和寒燥火水。,子类代码,162,是,首次用于V1.6
规则子类,M18-DOSE,M18｜药量与主辅容量,M18中用于最小有效剂量、药过转忌、弱药降级、辅助反客、多药竞争、多效限量和新病严重度。,子类代码,163,是,首次用于V1.6
规则子类,M18-RANK,M18｜最终定位裁决,M18中用于主用、辅助、喜神、条件性喜神、中性、条件性忌神、忌神和仇神最终确认。,子类代码,164,是,首次用于V1.6
规则子类,M18-BOUND,M18｜裁决边界与治理,M18中用于结构化输出、非固定优先级、原局/岁运分离及不确定性转M20/M21治理。,子类代码,165,是,首次用于V1.6
版本号,VER21,V1.7,版本号的标准选项：V1.7。完成M19综合输出模板。,版本号,17,是,综合输出模板版
规则子类,M19-META,M19｜报告信息,M19中用于输入完整度、分析范围、总体置信度与待核查项。,子类代码,166,是,首次用于V1.7
规则子类,M19-BASE,M19｜基础结构输出,M19中用于日主月令、四柱映射、根气透干和原局结构总览。,子类代码,167,是,首次用于V1.7
规则子类,M19-REL,M19｜干支关系输出,M19中用于已成立关系、实际效应及未成立/待定关系。,子类代码,168,是,首次用于V1.7
规则子类,M19-ELEM,M19｜五行旺衰输出,M19中用于五行有效旺衰矩阵、排序主势与关键修正原因。,子类代码,169,是,首次用于V1.7
规则子类,M19-DM,M19｜日主状态输出,M19中用于日主七级旺衰、扶身证据、负荷证据及相邻等级排除。,子类代码,170,是,首次用于V1.7
规则子类,M19-TEN,M19｜十神功能输出,M19中用于十神总表、主要有力/受限十神及清纯混杂。,子类代码,171,是,首次用于V1.7
规则子类,M19-COMBO,M19｜十神组合输出,M19中用于成立组合、被否决组合及主导生化制化功能。,子类代码,172,是,首次用于V1.7
规则子类,M19-FLOW,M19｜五行流通输出,M19中用于主路径、主卡点、次级卡点、通关候选与副作用。,子类代码,173,是,首次用于V1.7
规则子类,M19-CLIMATE,M19｜寒暖燥湿输出,M19中用于温度、湿度、气候问题、调候有效性及跨模块冲突。,子类代码,174,是,首次用于V1.7
规则子类,M19-PATTERN,M19｜格局成败输出,M19中用于格局候选、最终格局、成格层次、破格与救应。,子类代码,175,是,首次用于V1.7
规则子类,M19-MED,M19｜病药输出,M19中用于根本病、次级病、主辅药及药力新病风险。,子类代码,176,是,首次用于V1.7
规则子类,M19-USE,M19｜喜忌用神与综合结论,M19中用于五行五维矩阵、主辅用神、喜忌仇神和下游接口。,子类代码,177,是,首次用于V1.7
版本号,VER22,V1.8,版本号的标准选项：V1.8。完成M20案例测试集。,版本号,18,是,案例测试与覆盖看板版
规则子类,M20-BASE,M20｜基础映射与根气测试,M20中用于M02/M03干支、藏干、十神、月令、根气和输入边界测试。,子类代码,178,是,首次用于V1.8
规则子类,M20-REL,M20｜关系识别测试,M20中用于M04/M05天干地支合冲刑害会破及重叠关系识别测试。,子类代码,179,是,首次用于V1.8
规则子类,M20-EFFECT,M20｜关系效应测试,M20中用于M06合绊、合化、冲动、冲根、开库、三刑和多重效应测试。,子类代码,180,是,首次用于V1.8
规则子类,M20-WANG,M20｜旺衰测试,M20中用于M07/M08/M09原始旺衰、有效旺衰和日主七级旺衰测试。,子类代码,181,是,首次用于V1.8
规则子类,M20-TEN,M20｜十神与组合测试,M20中用于M10/M11十神存在、力量、功能、清纯和组合成立测试。,子类代码,182,是,首次用于V1.8
规则子类,M20-FLOW,M20｜流通卡点测试,M20中用于M12起点桥梁终点、缺桥、承载、通关和副作用测试。,子类代码,183,是,首次用于V1.8
规则子类,M20-CLIMATE,M20｜寒暖燥湿测试,M20中用于M13温度、湿度、复合气候、调候有效性与冲突测试。,子类代码,184,是,首次用于V1.8
规则子类,M20-PATTERN,M20｜格局成败测试,M20中用于M14/M15普通格、建禄羊刃、从化专旺及成败救应测试。,子类代码,185,是,首次用于V1.8
规则子类,M20-MED,M20｜病药模型测试,M20中用于M16根本病、流通病、制化病、格局病、调候病和药力风险测试。,子类代码,186,是,首次用于V1.8
规则子类,M20-USE,M20｜用神与冲突测试,M20中用于M17/M18五维用神、硬约束、药路、剂量和最终定位测试。,子类代码,187,是,首次用于V1.8
规则子类,M20-OUTPUT,M20｜综合输出测试,M20中用于M19三层表达、空值、置信度、边界和下游接口测试。,子类代码,188,是,首次用于V1.8
规则子类,M20-INTEGRATION,M20｜综合集成案例,M20中用于M02—M19跨模块完整判定链的合成综合案例。,子类代码,189,是,首次用于V1.8
规则子类,M20-REGRESSION,M20｜历史错误回归,M20中用于三刑固定减力、冲根归零、弱即喜、候选即成格和药越多越好等历史错误回归。,子类代码,190,是,首次用于V1.8
规则子类,M20-DISPUTE,M20｜争议测试,M20中用于阴干羊刃、四季土湿燥等流派争议和M21转交测试。,子类代码,191,是,首次用于V1.8
版本号,VER23,V1.9,版本号的标准选项：V1.9。完成M21版本与争议治理闭环。,版本号,19,是,版本治理闭环版
规则子类,M21-GOV,M21｜治理原则,M21中用于分层推理、硬约束资格、证据去重、不确定性、静动态与回归治理。,子类代码,192,是,首次用于V1.9
规则子类,M21-HIST,M21｜版本历史,M21中用于V1.0—V1.9各版本新增范围、旧新版口径与生效记录。,子类代码,193,是,首次用于V1.9
规则子类,M21-REL,M21｜关系争议,M21中用于刑冲合化、三合三会、墓库和多重关系的采用口径。,子类代码,194,是,首次用于V1.9
规则子类,M21-WANG,M21｜旺衰争议,M21中用于月令、藏干比例、多根同党、根气、原始/有效旺衰和数量权重。,子类代码,195,是,首次用于V1.9
规则子类,M21-TEN,M21｜十神组合争议,M21中用于十神存在/功能、多节点、组合成立、组合与格局分层及混杂。,子类代码,196,是,首次用于V1.9
规则子类,M21-PATTERN,M21｜格局争议,M21中用于月令取格、特殊格局、真从假从、化气、专旺、建禄羊刃及阴干羊刃。,子类代码,197,是,首次用于V1.9
规则子类,M21-CLIMATE,M21｜调候争议,M21中用于冬夏基准、四季土湿燥、调候优先级与药量边界。,子类代码,198,是,首次用于V1.9
规则子类,M21-MEDUSE,M21｜病药用神争议,M21中用于根因择药、五维用神矩阵和非固定模块优先级。,子类代码,199,是,首次用于V1.9
规则子类,M21-CASE,M21｜案例转交,M21中用于交节边界、残根假从和非标准一药多效等M20未完全闭环案例。,子类代码,200,是,首次用于V1.9
